STOREID,BARCODE,QTY_MARKDOWN,CURRENT_PRICE,ORIGINAL_PRICE
A551,9771462719885,15,3,3
A245,5054267010727,22,1.69,1.69
A474,9770214388263,3,3.8,3.8
A805,8001841107042,4,3.29,3.29
A439,5055193542184,20,1.99,1.99
A366,9770307017414,25,1.8,1.8
A247,9770307042362,2,2.5,2.5
A163,5037156280579,15,0.99,0.99
A257,5017353506467,3,0.99,0.99
A76,9771751627815,3,2,2
A771,0000012582099,14,0.99,0.99
A657,9770961878147,24,2.15,2.15
A104,5056086500120,7,0.49,0.49
A562,9770307521263,11,3.25,3.25
A246,5024996923674,25,7.99,7.99
A785,9770963402449,5,2.65,2.65
A941,3614228943307,11,1.49,1.49
A653,0000010825341,11,19.99,19.99
A589,5028141035595,24,3.39,3.39
A423,9770967309027,14,2.5,2.5
A76,0000010504185,2,4.99,4.99
A683,0000011399001,20,6.99,6.99
A580,8445291384941,12,0.99,0.99
A205,5060944461331,10,1.99,1.99
A244,0000010251799,8,1.89,1.89
A694,5010386105607,24,3.25,3.25
A314,5027017298201,18,0.99,0.99
A140,9771748839429,16,2.25,2.25
A133,4251097421551,19,0.89,0.89
A318,5059001000149,25,9.99,9.99
A262,0000090474606,8,1.59,1.59
A864,5021583004211,1,1.95,1.95
A657,0000012468355,23,2.49,2.49
A667,8412497506323,15,1.49,1.49
A840,5060228452475,16,0.59,0.59
A648,0000010500798,19,10,10
A613,5055918650750,14,1.59,1.59
A602,6430056289670,1,0.89,0.89
A556,0000014443985,16,12,12
A266,0000012677498,24,3.99,3.99
A699,5034934827100,23,0.99,0.99
A781,5010052115992,8,0.95,0.95
A241,0000010389232,15,16.99,16.99
A95,7613036521208,20,0.99,0.99
A643,0000010505144,5,2.99,2.99
A631,0000013467210,18,4,4
A833,5000382123378,6,0.99,0.99
A657,0000012864348,18,13,13
A609,9771367059116,13,2.25,2.25
A414,3500610134623,13,3.25,3.25
A8307,3616304503962,17,0.99,0.99
A179,5000354919077,21,1.19,1.19
A123,9770307017469,19,2.6,2.6
A214,7622210989505,4,0.99,0.99
A239,0000010503713,7,3.99,3.99
A258,5060741616934,21,1.99,1.99
A303,0000010384329,11,0.79,0.79
A724,5900649083097,5,1.49,1.49
A479,0000010389720,7,12.99,12.99
A578,5012035972806,20,0.99,0.99
A144,0737052972268,8,32.99,32.99
A311,5038483670194,12,5.99,5.99
A718,5013919003685,18,3.99,3.99
A272,4060800308481,15,3.49,3.49
A251,5060595854667,4,2.49,2.49
A854,0000010354964,16,6.99,6.99
A642,5010789464943,15,0.99,0.99
A722,0000010330036,18,4.99,4.99
A440,5010038486016,3,1.39,1.39
A569,9770043724393,9,6.25,6.25
A8147,9770966321273,11,3.3,3.3
A269,8710908710773,18,2.25,2.25
A721,9771465055522,22,3.1,3.1
A796,9772051111660,2,2.65,2.65
A696,5034934827506,8,0.69,0.69
A697,0000013446789,17,6,6
A722,0850031700826,6,0.99,0.99
A342,5060944462086,1,1.69,1.69
A554,0000012536337,12,0.99,0.99
A411,5034934828367,16,0.69,0.69
A423,5013919005634,4,2.99,2.99
A401,5000159409865,19,0.75,0.75
A323,9771748839115,2,2.25,2.25
A283,0035051591818,6,3.99,3.99
A174,0000013449490,11,2.99,2.99
A210,5015934886564,15,0.79,0.79
A794,9771741340458,21,2.15,2.15
A575,4062139017324,23,1.49,1.49
A804,0000010788912,23,39.99,39.99
A329,9771741340458,18,2.15,2.15
A347,0000010092378,15,3.15,3.15
A324,8720181158995,4,2.49,2.49
A191,0000013358730,13,1.49,1.49
A350,8720181333095,15,2.49,2.49
A313,9771751628034,1,2,2
A303,9770957623164,18,1.9,1.9
A126,0000010447420,24,14,14
A476,0000010347508,7,49.99,49.99
A657,5900951352676,18,12.49,12.49
A136,9770266522127,14,2.9,2.9
A441,5059001000620,10,1.29,1.29
A703,0000012382699,11,1,1
A322,5015088903193,12,2.99,2.99
A864,0000010396001,23,0.69,0.69
A717,9772046144222,21,2,2
A117,5000213012017,25,1.69,1.69
A89,0000014413971,12,1.99,1.99
A387,7332531063456,5,3.99,3.99
A360,9770957623461,18,1.9,1.9
A241,0000010912768,17,1.99,1.99
A175,0000010420096,11,69.99,69.99
A354,4972842330026,4,1.29,1.29
A846,0000010396599,16,0.99,0.99
A176,0000012364374,14,3,3
A153,9771476512151,5,2.2,2.2
A716,0000010515303,11,69.99,69.99
A581,0000050398621,20,3.99,3.99
A741,5900396028167,19,2.99,2.99
A627,0000010396247,20,0.99,0.99
A557,5024993732729,15,2.95,2.95
A762,9770963781711,6,3.2,3.2
A156,0000010678152,25,2.65,2.65
A422,0000010872857,3,2.99,2.99
A748,5021538001241,22,1.09,1.09
A232,5000314120567,2,0.89,0.89
A733,0000010397336,15,0.75,0.75
A451,0000010396001,11,0.59,0.59
A393,9772051886216,9,2,2
A123,0000013381103,20,9,9
A685,5000325053922,15,2.85,2.85
A746,5035766052135,7,8.99,8.99
A174,6920714803213,4,1.99,1.99
A893,5060455148042,12,1.29,1.29
A135,5000221602606,1,2.99,2.99
A338,4060800103314,1,1.25,1.25
A396,8720847370815,11,0.89,0.89
A263,5060228450891,16,0.99,0.99
A763,5034934827490,8,0.69,0.69
A844,0000010327180,23,8,8
A184,5021254910179,3,0.99,0.99
A386,0000010669105,12,6.99,6.99
A866,5021538011431,1,1.25,1.25
A387,8717163058275,14,0.89,0.89
A359,0000010347027,22,7.99,7.99
A272,0071570001667,24,0.89,0.89
A636,8711148411635,9,0.29,0.29
A312,5011348010090,14,1.29,1.29
A934,3800020418697,11,0.99,0.99
A668,8594403707724,20,0.99,0.99
A308,8711000519202,20,5.99,5.99
A793,8700216969413,19,4.99,4.99
A741,9770966194730,23,3,3
A621,5034934827339,17,0.99,0.99
A95,5010123732462,21,5.99,5.99
A369,0000010414828,4,4.99,4.99
A169,5028184201407,5,1.45,1.45
A198,5010572014454,1,7.99,7.99
A564,7613035023802,4,1.75,1.75
A379,5034934835174,1,0.79,0.79
A224,0000010423660,9,34.99,34.99
A419,0000010375518,25,3.75,3.75
A334,0000010541029,24,0.02,0.02
A719,5011417575895,16,2.49,2.49
A668,5060938983252,23,1.99,1.99
A620,0000011087595,8,2.99,2.99
A665,0000014432958,9,5,5
A190,9771476512212,21,2.2,2.2
A85,0000012456260,15,7,7
A278,8436575094458,3,1.49,1.49
A646,8007541013218,3,1.49,1.49
A335,0000011000280,23,3.99,3.99
A828,5060772360011,4,3.99,3.99
A20,5000382115656,7,0.39,0.39
A8448,9771744598214,17,2.5,2.5
A205,0000011780304,1,1.49,1.49
A752,5061015253640,2,0.99,0.99
A131,5025135116896,24,2.99,2.99
A940,5010153873708,16,4.99,4.99
A372,0000012434190,19,7,7
A776,5013634012092,19,2.49,2.49
A195,7792798007547,17,0.99,0.99
A693,0000011504849,10,0.99,0.99
A477,0000010353912,19,0.02,0.02
A619,0000010420416,17,59.99,59.99
A303,4017100420665,3,1.29,1.29
A340,6975641461333,5,0.29,0.29
A642,9770957623164,25,1.9,1.9
A263,8720964890449,19,0.99,0.99
A819,9770956805363,3,2.7,2.7
A455,5015802293630,19,2.49,2.49
A623,9772051886124,5,2,2
A794,0191726915812,2,9.99,9.99
A337,0000012442546,24,12,12
A705,0000012382651,22,1,1
A266,7613033733406,20,0.85,0.85
A71,5029053581194,24,3.49,3.49
A330,0000010124796,14,3.99,3.99
A746,0000011332251,5,7.99,7.99
A667,0000010489383,18,0.99,0.99
A607,5060133376736,10,1.29,1.29
A798,5010153712557,21,2.59,2.59
A68,0083800068081,4,0.29,0.29
A701,5056369125002,5,1.19,1.19
A858,9015340103923,21,1.19,1.19
A242,5061013944199,15,1.29,1.29
A419,0000010325117,3,251.21,251.21
A930,9770961878017,16,2.15,2.15
A474,5060447947431,7,2.49,2.49
A936,9771366780455,5,2.25,2.25
A252,0000010341223,25,0.99,0.99
A662,9771750958231,5,2.4,2.4
A326,0000010510636,7,2.99,2.99
A455,5034934827230,13,0.69,0.69
A619,5021711041958,10,5.99,5.99
A109,5060057801680,16,0.99,0.99
A352,9770956806025,11,1.8,1.8
A606,5060040253922,12,2.29,2.29
A791,0000014446870,7,8,8
A815,9770307042133,15,2.5,2.5
A261,0000010392553,23,10,10
A729,0000012386017,21,6,6
A362,5000167056600,24,1.99,1.99
A688,5010438021510,3,1.99,1.99
A592,5060615781072,22,1.19,1.19
A195,8711000500163,20,5.29,5.29
A804,0000013387174,17,3.5,3.5
A257,9770961878123,10,2.15,2.15
A37,0000011363989,11,1.5,1.5
A439,0000010517291,11,12.99,12.99
A171,5013692266376,21,0.99,0.99
A828,4063528059185,23,0.99,0.99
A349,5056192413963,5,0.89,0.89
A686,5016932142591,20,2.85,2.85
A412,9770962500047,12,3.2,3.2
A932,8414227043184,11,1.99,1.99
A718,0602835008635,22,3.99,3.99
A353,9771744033555,15,2.15,2.15
A377,9770962341138,24,3.2,3.2
A563,0000012463343,12,4.5,4.5
A873,9771476512113,3,2.2,2.2
A278,5013692274586,3,0.79,0.79
A329,0000010251799,13,1.89,1.89
A288,5034934828084,11,0.29,0.29
A610,0000010213513,19,0.99,0.99
A243,9771353393569,1,2.15,2.15
A11,5060944461591,24,2.49,2.49
A111,5060944460488,25,1.79,1.79
A264,5060938983269,24,1.99,1.99
A747,4009900545983,2,0.79,0.79
A154,0000012330669,15,8,8
A555,9771751314081,22,3.2,3.2
A8307,5055918661497,9,0.79,0.79
A71,8722900048723,25,0.49,0.49
A761,9771748839412,16,2.25,2.25
A178,0000010384329,12,0.79,0.79
A272,5010996161819,19,19.99,19.99
A189,5060895747164,24,0.5,0.5
A362,9770957375414,3,2.5,2.5
A562,5015934753309,7,2.99,2.99
A252,9311218005093,17,5.75,5.75
A861,5055918660148,2,1.59,1.59
A589,9770307521317,14,2.25,2.25
A602,5000488105285,8,3.79,3.79
A834,0000011462965,3,3.5,3.5
A808,5000328035543,11,1.75,1.75
A226,5000107060087,25,6.49,6.49
A703,0000011431916,7,2.99,2.99
A410,4251097421612,7,0.89,0.89
A793,8410525275456,6,0.89,0.89
A256,3700006201254,20,0.69,0.69
A554,8700216778169,14,2.89,2.89
A118,9771476512458,21,2.2,2.2
A733,5059001022745,4,5.99,5.99
A614,9770307299247,4,7.5,7.5
A86,0000012629336,7,7.99,7.99
A186,9772041596149,16,3.9,3.9
A399,5000161030170,1,4.59,4.59
A81,8445290750716,5,2.49,2.49
A733,9771367059321,16,2.25,2.25
A155,0000013364212,1,1,1
A691,9770262304116,16,1.2,1.2
A599,7622201394196,7,10.89,10.89
A248,5060292126005,25,0.29,0.29
A709,8700216896009,25,2.35,2.35
A879,0000010507407,14,0.99,0.99
A609,5013919001612,13,9.99,9.99
A105,3600523900701,16,3.99,3.99
A294,8445291451162,12,0.99,0.99
A588,9772051886254,12,2,2
A294,0000010389232,16,16.99,16.99
A379,9771462340331,4,2.2,2.2
A781,5060539070610,5,0.99,0.99
A703,5057566736305,1,2.49,2.49
A681,0000010945193,14,0.69,0.69
A620,9771367059116,24,2.25,2.25
A713,5000167056488,1,1.99,1.99
A37,5010996131577,10,19.99,19.99
A122,0000011467274,25,4,4
A283,5010394001502,9,0.95,0.95
A217,9770963757228,24,2.9,2.9
A399,0000012358830,1,1.99,1.99
A749,9770966321280,22,3.3,3.3
A621,9770963402333,20,2.65,2.65
A863,5060591033745,15,0.89,0.89
A833,8720181703546,9,2.49,2.49
A213,8888056717507,23,1.89,1.89
A375,0000010447093,19,1.49,1.49
A793,0000010386835,8,29.99,29.99
A239,5015934844045,14,2.99,2.99
A873,8718432293465,3,14.99,14.99
A639,0000010129814,13,1.49,1.49
A251,5011376003095,16,1.29,1.29
A308,5034934841809,16,0.79,0.79
A735,5021778709051,19,0.99,0.99
A112,5065023116546,22,3.99,3.99
A176,0000010525630,3,6,6
A665,8445290518910,21,1.25,1.25
A29,5000171058867,12,3.65,3.65
A318,7622202010033,16,2.49,2.49
A284,5034934828176,2,0.99,0.99
A140,5060615780846,15,1.09,1.09
A371,9770307588426,6,2.2,2.2
A646,0000011418610,7,5,5
A779,0000010525852,25,8,8
A371,5000204379266,11,3.99,3.99
A189,0000010550373,8,0.99,0.99
A307,5029066024176,15,1.99,1.99
A830,6009544969631,17,9.99,9.99
A86,0000014420436,16,15,15
A571,5059001014078,24,2.49,2.49
A86,8436575096124,24,0.29,0.29
A209,8710447373224,24,3.49,3.49
A417,5061004550514,11,11.99,11.99
A327,0000012323791,9,1.79,1.79
A139,9770961878949,5,2.15,2.15
A633,0000014394225,11,0.49,0.49
A305,9772051105638,7,2.3,2.3
A417,0000010331545,13,1.09,1.09
A333,0000014385926,6,14,14
A451,5010052116005,22,0.69,0.69
A326,8445291422209,21,2.39,2.39
A864,0049000014273,2,1.09,1.09
A557,0000010562444,25,0.69,0.69
A826,5023674212154,6,1.99,1.99
A20,5034934826790,21,0.69,0.69
A792,9771744598429,2,2.5,2.5
A591,5034934841854,2,0.79,0.79
A780,0000010332375,4,9.99,9.99
A249,5057566262989,12,1.99,1.99
A117,0000010341421,16,1.5,1.5
A828,5055918662210,18,0.89,0.89
A189,8413178303682,9,0.17,0.17
A40,9770957623010,5,1.2,1.2
A338,9770966194686,15,3,3
A726,0000010363539,11,1.49,1.49
A570,0000010345375,15,1.99,1.99
A836,0043194334889,14,0.49,0.49
A310,0078985677005,14,3.99,3.99
A802,5060317322368,8,0.79,0.79
A224,5012427049703,7,2,2
A115,0000011505358,17,1.5,1.5
A703,0000013849252,18,2.99,2.99
A474,5037200081565,5,0.49,0.49
A940,9770961380664,13,2.7,2.7
A443,5056683100693,16,1.29,1.29
A437,7613034460448,11,24.99,24.99
A35,8714100535516,14,1.19,1.19
A419,8593893776104,17,3.49,3.49
A224,5055918657162,6,0.79,0.79
A849,9008606235988,14,5.99,5.99
A589,0000014521836,11,6,6
A756,8720181158988,14,2.49,2.49
A889,0000010423660,2,34.99,34.99
A212,0000011364412,18,8,8
A609,0000010173459,12,0.69,0.69
A75,0000010527221,1,1.79,1.79
A157,5012035927592,18,0.89,0.89
A829,0000011463023,18,0.99,0.99
A200,5000221606406,20,1.99,1.99
A8307,6937643568069,14,0.29,0.29
A883,0000010379936,20,0.02,0.02
A194,7622201438609,3,2.49,2.49
A259,0000010382080,21,4.99,4.99
A575,5034934827506,19,0.69,0.69
A668,3760145062550,1,14.99,14.99
A298,0843536183386,17,5.79,5.79
A444,9771741340113,3,2.15,2.15
A169,0000011610595,9,2.99,2.99
A400,9770307588136,11,2.2,2.2
A466,5055918660117,17,1.59,1.59
A444,9770957623010,17,1.2,1.2
A160,5020411121151,25,4.49,4.49
A331,0000010754474,20,2.99,2.99
A707,0000010093856,6,4.99,4.99
A787,9770307521348,7,2.25,2.25
A442,0072417336249,8,0.99,0.99
A131,0035051505419,21,3.99,3.99
A708,9771476512243,7,2.2,2.2
A252,5038581029375,17,0.79,0.79
A123,0000014467271,19,4,4
A705,5026418052566,3,0.29,0.29
A724,0000011323662,9,5.99,5.99
A87,5010993458851,11,2.99,2.99
A185,5015088903247,20,2.99,2.99
A453,5021711041958,1,5.99,5.99
A172,5708932006927,19,0.69,0.69
A115,0000010381465,18,0.79,0.79
A738,5013692253581,25,0.69,0.69
A585,5034934826677,3,0.29,0.29
A600,0000010339510,8,0.02,0.02
A397,7613033126390,11,0.99,0.99
A201,4025500286712,25,0.5,0.5
A198,8437019158071,25,1.99,1.99
A689,0000010532232,8,2.99,2.99
A163,5060896628899,8,0.79,0.79
A753,0850031700826,14,0.99,0.99
A242,0000012364107,2,1.5,1.5
A944,0000014418617,24,5,5
A774,0000010504819,10,9.99,9.99
A689,0000010515051,20,19.99,19.99
A268,7702018364459,2,4.99,4.99
A365,5056555207406,25,14.99,14.99
A114,9781836504320,9,2.79,2.79
A596,9771479230250,14,2.5,2.5
A338,5014379026214,19,7.75,7.75
A145,0194735234639,13,19.99,19.99
A812,5034934827698,25,0.99,0.99
A614,0000010396612,4,3.99,3.99
A120,5059001010537,16,5.49,5.49
A174,5034934827254,1,0.69,0.69
A406,3614227386211,6,2.99,2.99
A292,0000014518195,15,15,15
A23,5056709800064,21,0.29,0.29
A940,5000161030170,15,4.59,4.59
A20,0000011341802,5,4,4
A586,5900951282478,12,11.79,11.79
A300,8445290825315,17,2.99,2.99
A347,5034934827179,6,0.99,0.99
A111,8410261608532,14,1.89,1.89
A416,0000010861165,9,7.99,7.99
A453,5060868952960,17,0.99,0.99
A431,8700216003797,17,2.89,2.89
A184,9771367059413,16,2.25,2.25
A467,5060228450891,23,0.99,0.99
A748,0039052010781,25,0.69,0.69
A86,9770262304642,12,1.2,1.2
A686,9771366780035,10,2.25,2.25
A171,5028141034215,5,2.99,2.99
A343,5000204365245,18,2.49,2.49
A106,9770950803341,1,3.6,3.6
A565,8717644627624,2,1.99,1.99
A353,9771366780158,1,2.25,2.25
A24,8700216003520,16,2.49,2.49
A152,0681307434462,19,0.39,0.39
A100,8718114567389,4,1.19,1.19
A40,5011157888101,2,0.95,0.95
A242,0000013513832,8,4,4
A223,5034934827575,19,0.69,0.69
A893,8435595608577,4,4.99,4.99
A355,7622201635510,5,0.79,0.79
A259,0000012677498,5,3.99,3.99
A729,0000010033890,7,1.49,1.49
A285,0000010386217,4,2.99,2.99
A879,0000010464571,3,8,8
A598,7613036127097,9,1,1
A173,5060744385844,20,0.39,0.39
A861,9770961878222,13,2.15,2.15
A735,0000010394083,19,1.25,1.25
A759,8720181638510,15,1.99,1.99
A153,0000010364338,1,3,3
A8448,5060710512724,6,0.29,0.29
A658,9770956806452,21,1.8,1.8
A801,5711938030377,13,2.99,2.99
A343,5061058241260,13,1.49,1.49
A268,0000012341832,22,1,1
A594,5000314009596,10,0.89,0.89
A681,5060121090224,2,0.59,0.59
A590,0000010322383,14,4.99,4.99
A37,0888888112233,14,0.99,0.99
A185,5000328238807,13,1.95,1.95
A312,5012924076622,18,13.99,13.99
A316,5010102343351,13,2.99,2.99
A857,5016910903626,4,4.99,4.99
A768,0000010353929,22,0.02,0.02
A330,5034934827827,15,0.69,0.69
A234,5060648120077,13,0.99,0.99
A402,5000295144422,6,1.25,1.25
A936,9770961878031,1,1.2,1.2
A338,5010438022388,10,0.49,0.49
A160,5060896621760,5,0.79,0.79
A409,5059001023940,18,1.99,1.99
A779,9771352688475,17,2.9,2.9
A732,8721201909085,12,1.89,1.89
A701,5026489492131,6,0.49,0.49
A597,5013692272520,23,1.49,1.49
A456,0000010539774,6,4.99,4.99
A433,9772051886278,17,2.3,2.3
A181,5010052115978,16,1.35,1.35
A50,9771746701261,8,2,2
A805,0000011423607,25,3.99,3.99
A734,0000010325117,10,251.21,251.21
A8563,0000012330751,5,4,4
A234,0000010397763,17,1.49,1.49
A580,5060338920895,15,0.49,0.49
A776,0000014341953,17,2.5,2.5
A35,0000010340431,23,8.99,8.99
A349,0000012802753,3,0.49,0.49
A730,0000011431916,25,2.99,2.99
A356,5000196000636,9,12.99,12.99
A208,0074108427175,3,0.49,0.49
A285,0000010822043,20,1.99,1.99
A287,5054267000216,9,0.39,0.39
A691,5015088851807,16,6.99,6.99
A455,5055918654369,1,2.59,2.59
A466,0000010322406,21,1.99,1.99
A674,5017726408381,10,4.49,4.49
A864,9771467702240,7,0.85,0.85
A128,3616302484232,2,1.99,1.99
A254,0000014833861,24,5.99,5.99
A851,0000010537039,24,2.99,2.99
A249,5060903877982,23,1.99,1.99
A273,5031413929843,25,1.99,1.99
A749,5059001014078,17,2.49,2.49
A713,8720182903143,14,2.79,2.79
A219,0000010503676,13,319.17,319.17
A633,0077975096611,7,1.39,1.39
A806,5054267501072,7,2.49,2.49
A655,5055918657780,7,1.79,1.79
A795,0000012833863,14,5.99,5.99
A352,5000237133910,20,1.59,1.59
A617,5000225037220,19,0.29,0.29
A323,5000354926709,3,1.29,1.29
A301,0000011431046,16,6,6
A578,5000168002033,24,1.75,1.75
A282,0000010519363,7,1.85,1.85
A730,5000328033266,5,0.99,0.99
A16,0000010372036,18,1.49,1.49
A471,8006540123850,20,3,3
A374,8700216778169,15,2.89,2.89
A293,0000010532294,3,2.99,2.99
A768,5059464281000,8,5.99,5.99
A277,0000012330669,16,8,8
A302,9770043724379,23,5.99,5.99
A767,5055193550158,14,1.79,1.79
A564,9771750981086,25,3.2,3.2
A840,8652764399115,16,0.29,0.29
A699,5021538003573,12,1.45,1.45
A209,5060427359780,12,3.49,3.49
A312,5034934828152,14,0.99,0.99
A727,5034934826974,11,0.69,0.69
A137,0000012328857,4,1.5,1.5
A76,8719689294076,6,4.99,4.99
A790,9770957623317,5,1.2,1.2
A112,5034934828299,15,0.69,0.69
A555,0000013959326,25,12.99,12.99
A288,0026000163095,7,1.49,1.49
A802,9770956805530,19,1.8,1.8
A719,5010153873708,5,4.49,4.49
A325,5018970095969,18,0.79,0.79
A56,0000011411888,1,0.99,0.99
A851,5025840006185,10,0.89,0.89
A142,0000010436318,6,1.19,1.19
A881,0656497021396,17,2.99,2.99
A398,9771745492078,25,3.3,3.3
A211,5000159409674,13,0.75,0.75
A440,8711200516636,6,0.65,0.65
A281,0886144245466,21,2.99,2.99
A195,0083800068081,22,0.29,0.29
A893,9770307017049,2,1.8,1.8
A325,9770961380640,25,2.7,2.7
A460,9771462720058,18,3,3
A565,9770262304154,11,1.2,1.2
A304,5055586100748,19,0.59,0.59
A105,5060944462512,22,2.99,2.99
A292,5000225043122,17,0.29,0.29
A639,0000010449103,24,9.99,9.99
A343,9770963402456,25,2.65,2.65
A600,5028141033232,10,2.49,2.49
A588,5025514006442,13,1.89,1.89
A153,5061072450549,10,1.79,1.79
A943,0000012892709,22,2.49,2.49
A736,8700216502696,25,2.99,2.99
A409,0000012360574,3,13,13
A139,5000112573572,8,0.69,0.69
A81,5034934828459,11,0.69,0.69
A709,5060317323280,5,0.79,0.79
A346,0000011329831,11,1.49,1.49
A657,5711938030407,23,1.99,1.99
A107,5025840006185,21,0.89,0.89
A880,5054563118936,3,3.49,3.49
A301,5025840002347,16,0.99,0.99
A760,0000010532195,5,0.79,0.79
A306,5012427096103,4,1.19,1.19
A373,0000010323878,11,1.29,1.29
A934,8006540418109,20,9.49,9.49
A641,8710847956188,11,3.49,3.49
A134,0688575179415,21,20.99,20.99
A575,9771744033814,5,2.15,2.15
A730,9771748839214,14,2.25,2.25
A679,5060532010040,7,0.89,0.89
A707,9770262238343,13,2.99,2.99
A390,9771479230441,9,2.5,2.5
A819,5050360015263,13,2.49,2.49
A190,5013919015282,12,3.49,3.49
A142,9771748839337,20,2.25,2.25
A469,0191726915812,7,9.99,9.99
A8063,9770307586163,16,2.5,2.5
A436,0000010540374,18,4.99,4.99
A227,9771462720058,8,3,3
A863,5000204318944,2,2.25,2.25
A752,0000010406755,2,0.02,0.02
A86,5060944462048,22,1.59,1.59
A789,0000011089124,16,7.99,7.99
A607,5055394026117,4,1.99,1.99
A194,8410261612171,22,1.89,1.89
A334,5055918650743,17,1.59,1.59
A826,5037028275146,13,4.99,4.99
A215,7332531063166,7,3.49,3.49
A559,0000010381878,9,406.4,406.4
A172,5034934827629,25,0.69,0.69
A233,9771479230410,2,2.5,2.5
A635,9770961878222,13,2.15,2.15
A35,9770961100149,17,3.4,3.4
A298,9770960357230,5,1.95,1.95
A936,5020628000232,12,4.49,4.49
A740,8720182782304,8,6.49,6.49
A629,0000054025806,19,0.39,0.39
A595,9770307017315,23,1.8,1.8
A583,9771479792147,12,3.99,3.99
A281,9770043724416,13,5.99,5.99
A346,5034934828336,18,0.69,0.69
A205,0000010396650,4,0.99,0.99
A815,0000010379219,24,0.02,0.02
A165,5010549018218,11,1.09,1.09
A834,9770951862309,13,5.5,5.5
A617,5025970015996,14,2.99,2.99
A771,5034934841908,15,0.99,0.99
A619,5054563259851,15,2.49,2.49
A818,0000010412374,15,1.49,1.49
A742,0000011516811,6,2.99,2.99
A678,5037787000522,21,0.95,0.95
A37,5020580560478,11,3.49,3.49
A410,5010052105429,8,1.35,1.35
A679,5056192414595,19,0.59,0.59
A425,9770307042362,24,2.5,2.5
A559,0000010417621,14,0.99,0.99
A475,5057566592185,3,1.99,1.99
A580,0011152431680,24,1.29,1.29
A215,9770307042126,8,2.5,2.5
A280,8436575094458,25,1.49,1.49
A698,9772054542027,11,0.39,0.39
A83,5055967335417,10,4.99,4.99
A555,9770956805318,11,1.8,1.8
A755,5015088851982,16,9.99,9.99
A621,5060123606645,25,1.59,1.59
A683,0000011468615,16,1.99,1.99
A226,5056192410047,6,0.35,0.35
A267,5034934827841,12,0.99,0.99
A243,5028141033126,5,1.79,1.79
A185,9770262304550,15,1.2,1.2
A776,8006540338872,16,0.99,0.99
A206,5010438021374,5,0.29,0.29
A410,0000010890028,12,2.49,2.49
A154,5000382125044,17,0.65,0.65
A658,5023674212130,4,1.99,1.99
A702,9770307586040,15,2.2,2.2
A122,4000349310026,23,0.29,0.29
A728,0000010470831,24,24.99,24.99
A609,5014379028140,1,3.25,3.25
A476,0000012576661,8,4.99,4.99
A316,5034934829784,20,0.79,0.79
A365,0000012364206,16,9.99,9.99
A663,0000013449995,20,7,7
A404,5057566483117,8,1.99,1.99
A123,5900951282478,11,11.79,11.79
A412,5701390670167,23,0.49,0.49
A740,0000011449492,10,2.99,2.99
A555,5000159551694,7,0.75,0.75
A787,5000101510670,3,0.99,0.99
A471,9771744598054,15,2.5,2.5
A421,8720181780608,18,5.49,5.49
A242,9770962574277,7,3,3
A840,8901571011018,16,1.49,1.49
A592,5000382109624,4,0.59,0.59
A50,0000012000289,6,3.99,3.99
A356,0000010664902,6,12.99,12.99
A785,9770963757228,12,2.9,2.9
A198,9770307588464,12,2.2,2.2
A931,3616304522840,13,1.99,1.99
A615,5000204379235,15,3.99,3.99
A144,0000011443988,16,12,12
A200,5025364003660,15,0.79,0.79
A233,5010459001041,10,2.99,2.99
A752,0000010347362,12,29.99,29.99
A436,5015802293708,5,1.99,1.99
A35,9770961878024,5,2.15,2.15
A361,5055918660056,21,0.69,0.69
A736,5000204394597,24,1.29,1.29
A830,8717163058015,8,0.89,0.89
A620,9771366780325,24,2.25,2.25
A340,0000010521342,15,0.99,0.99
A734,0000010384985,5,0.49,0.49
A685,5410263931297,21,0.99,0.99
A703,9772058712969,5,8.99,8.99
A825,6974933180280,8,0.29,0.29
A610,9771748839122,3,2.25,2.25
A667,4038033107164,10,3.99,3.99
A362,0000011512325,16,0.99,0.99
A273,0083078004897,5,1.69,1.69
A442,9771750958156,14,2.4,2.4
A86,0000011540748,23,0.79,0.79
A748,0000096182444,16,0.65,0.65
A448,5034934841748,12,0.79,0.79
A880,5027448005492,15,2.99,2.99
A694,0000010418505,11,6.99,6.99
A65,0000011329619,15,2.99,2.99
A730,5010459001041,7,2.99,2.99
A173,8006540547229,13,3.29,3.29
A304,0000013450229,19,10,10
A566,5060183674011,9,1.49,1.49
A889,8710522937679,16,3.49,3.49
A271,7613036127097,1,1,1
A585,5060741612219,17,1.99,1.99
A115,5000108170846,3,1.99,1.99
A280,8436575097411,20,1.29,1.29
A635,5012427043503,18,2,2
A780,5034934827483,25,0.69,0.69
A304,0000010912416,21,0.59,0.59
A308,8436535485906,8,0.59,0.59
A802,0000010397732,7,1.49,1.49
A287,0000010328446,14,10,10
A394,5055918661497,6,0.79,0.79
A374,9770956805554,18,1.8,1.8
A101,9771751627525,9,2,2
A115,0850031700833,16,0.99,0.99
A256,5011962213006,21,0.69,0.69
A213,0045557877934,9,3.99,3.99
A705,7613030955016,3,4.59,4.59
A385,9770963883019,12,3.2,3.2
A184,5000237207055,12,2.25,2.25
A351,5060345216400,8,0.69,0.69
A322,5000159372343,13,1.09,1.09
A335,5410765003058,24,4.49,4.49
A402,5050841710212,4,9.99,9.99
A612,0000010434260,18,2.49,2.49
A796,9770307586040,24,2.2,2.2
A263,0000010412374,5,1.49,1.49
